ftype;#prg;n;abstool;solvertool;result;avgexp;nbexists
buggy;4;1;dataabs_acker;Z3;correct;4.0;4
buggy;4;1;dataabs_noacker;Z3;correct;4.0;4
buggy;4;1;vaphor;Z3;correct;4.0;4
buggy;4;2;dataabs_acker;Z3;correct;3.0;3
buggy;4;2;dataabs_acker;Z3;solvertimeout;1.0;1
buggy;4;2;dataabs_noacker;Z3;solvertimeout;4.0;4
buggy;4;2;vaphor;Z3;correct;4.0;4
buggy;4;NA;noabs;Z3;correct;4.0;4
hinted;12;1;dataabs_acker;Z3;correct;8.83;12
hinted;12;1;dataabs_acker;Z3;solvertimeout;3.17;5
hinted;12;1;dataabs_noacker;Z3;correct;8.99;11
hinted;12;1;dataabs_noacker;Z3;solvertimeout;2.84;4
hinted;12;1;dataabs_noacker;Z3;unknown;0.17;1
hinted;12;1;vaphor;Z3;correct;3.99;7
hinted;12;1;vaphor;Z3;solvertimeout;8.01;10
hinted;12;2;dataabs_acker;Z3;correct;5.83;6
hinted;12;2;dataabs_acker;Z3;solvertimeout;6.17;7
hinted;12;2;dataabs_noacker;Z3;solvertimeout;12.0;12
hinted;12;2;vaphor;Z3;solvertimeout;12.0;12
hinted;12;NA;noabs;Z3;solvertimeout;11.0;11
hinted;12;NA;noabs;Z3;unknown;1.0;1
nothinted;12;1;dataabs_acker;Z3;solvertimeout;11.83;12
nothinted;12;1;dataabs_acker;Z3;unknown;0.17;1
nothinted;12;1;dataabs_noacker;Z3;solvertimeout;12.0;12
nothinted;12;1;vaphor;Z3;correct;1.0;1
nothinted;12;1;vaphor;Z3;solvertimeout;11.0;11
nothinted;12;2;dataabs_acker;Z3;solvertimeout;12.0;12
nothinted;12;2;dataabs_noacker;Z3;solvertimeout;12.0;12
nothinted;12;2;vaphor;Z3;solvertimeout;12.0;12
nothinted;12;NA;noabs;Z3;solvertimeout;11.5;12
nothinted;12;NA;noabs;Z3;unknown;0.5;1
